Journal,Journal Type,Year,Authors,Title,DOI/web address,Region of study,Period of study,Type of article,Sub-type of article,Data location,"Raw data in reuseable format (supp mat as excel or csv, or in reprository)",Phyto pictures present,OA,Open Journal,Other open access,Used ICPN 1.0,Full methods given,other details
The Holocene,Archaeological Science,2013,Jones et al. ,"Forest disturbance, arboriculture and the adoption of rice in the Kelabit Highlands of Sarawak, Malaysian Borneo.",https://doi.org/10.1177%2F0959683613496293,Sarawak,6500 to 1200BP,Archaeological,,Table,N,Y,N,N,Research gate,Y,Y,Table with textual info about phytoliths
The Holocene,Archaeological Science,2013,Evett and Bartolome,Phytolith evidence for the extent and nature of prehistoric Californian grasslands.,https://doi.org/10.1177%2F0959683613499056,United States,,Palaeoenvironmental,,.xlsx,N,N,N,N,University repository,N,Y,"Excel table of some selected morphotypes, focus on grass short cells, not full raw data"
The Holocene,Archaeological Science,2013,Shipp et al.,Phytolith evidence of mid-Holocene Capsian subsistence economies in North Africa.,https://doi.org/10.1177%2F0959683612472001,Algeria,"10,000 to 6000 BP",Archaeological,,Graph,N,Y,N,N,Research gate,N,Y,Stratigraphic graphs of morphotypes
The Holocene,Archaeological Science,2013,Jones et al. ,"A 2300 yr record of sago and rice use from the southern Kelbit Highlands of Sarawak, Malyasian Borneo.",https://doi.org/10.1177%2F0959683612470180,Sarawak,6000-1200BP,Archaeological,,Graph,N,Y,N,N,Research gate,N,Y,Stratigraphic graph and measurements from morphometric analysis of rice glume and bulliforms
The Holocene,Archaeological Science,2013,Garnier et al.,"Phytolith taphonomy in the middle to late- Holocene fluvial sediments of Ounjougou (Mali, West Africa).",https://doi.org/10.1177%2F0959683612463102,Mali,7790-4000 BP,Palaeoenvironmental,,Table,N,Y,N,N,Research gate,Y,N,"Tables of absolute counts in the text, strat graphs"
The Holocene,Archaeological Science,2013,Zhang et al.,Palaeoenvironment and agriculture of ancient Loulan and Milan on the silk road.,https://doi.org/10.1177%2F0959683612455541,China,50-770 AD,Palaeoenvironmental,Arch,Graph,N,Y,N,N,Research gate,Y,Y,Strat graphs of some morphotypes
The Holocene,Archaeological Science,2013,Moravek et al.,"The origin of grassy balds in the Bunya Mountains, southeastern Queensland, Australia.",https://doi.org/10.1177%2F0959683612460792,Australia,,Palaeoenvironmental,,Graph,N,N,N,N,Research gate,N,N,Strat graph of some morphotypes
The Holocene,Archaeological Science,2012,Okunaka et al.,"Holocene history of intentional fires and grassland development on the Soni Plateau Central Japan, reconstructed from phytolith and macroscopic charcoal records within cumulative soils, combined with palaeoenvironmental data from mire sediments.",https://doi.org/10.1177%2F0959683611430409,Japan,,Palaeoenvironmental,,Graph,N,Y,N,N,Research gate,N,N,Strat graph of some morphotypes
The Holocene,Archaeological Science,2012,McMichael et al. ,Spatial and temporal scales of pre-Colombian disturbance associated with western Amazonian lakes.,https://doi.org/10.1177%2F0959683611414932,Ecuador/Peru,Pre-Columbian,Archaeological,,Graph,N,N,N,N,Research gate,N,N,Strat graph with some phytolith data
The Holocene,Archaeological Science,2010,Morris et al.,"Testing soil phytolith analysis as a tool to understand vegetation change in the sagebush steppe and pinyon-juniper woodlands of the Great Basin Desert, USA.",https://doi.org/10.1177%2F0959683610362809,United States,,Palaeoenvironmental,,Graph,N,Y,N,N,Research gate,N,N,Strat graphs of phytolith morphotypes
The Holocene,Archaeological Science,2010,Finne et al. ,"Siliceous microfossils as late-Quaternary paleo-environmental indicators at Braamhoek wetland, South Africa.",https://doi.org/10.1177%2F0959683610362810,South Africa,,Palaeoenvironmental,,Graph,N,Y,N,N,Research gate,Y,N,Strat graphs
The Holocene,Archaeological Science,2010,Morris et al. ,"Can soil phytolith analysis and charcoal be used as indicators of historic fire in the pinyon-juniper and sagebush steppe ecosystem types of the Great Basin Desert, USA.",https://doi.org/10.1177%2F0959683609348858,United States,,Palaeoenvironmental,,Graph,N,N,N,N,N - had to request,N,N,Graphs of burned phytolith index in different depths from surface.
,,,,,,,,,,,,,,,,,,
Journal of Archaeological Science,Archaeological Science,2017,Zhang et al.,"Diet reconstructed from an analysis of plant microfossils in human dental calculus from the Bronze Age site of Shilinggang, southwestern China.",https://doi.org/10.1016/j.jas.2017.06.010,China,Bronze Age,Archaeological,,Table,N,Y,N,N,Research gate,Y,Y,Table of counts extracted from dental calculus
Journal of Archaeological Science,Archaeological Science,2017,Asscher et al.,A new method for extracting the insoluble occuluded carbon in archaeological and modern phytoliths: detection of 14C depleted carbon fraction and implications for radiocarbon dating.,https://doi.org/10.1016/j.jas.2016.11.005,,,Methodological,R,Table,N,Y,N,N,Research gate,N,Y,Tables of data from different methods and dates obtained using methods
Journal of Archaeological Science,Archaeological Science,2017,Wright et al. ,Approaches to Middle Stone Age landscape archaeology in tropical Africa.,https://doi.org/10.1016/j.jas.2016.01.014,Malawi,Middle stone age,Archaeological,,.xlsx,N,Y,Y,N,N/A,N,N,Supp data is excel spreadsheet of phytolith data - but not labelled well as not clear if it is counts or frequencies? Some columns are not labelled.
Journal of Archaeological Science,Archaeological Science,2016,Knabb et al.,"Environmental impacts of ancient copper mining and metallurgy: mulit-proxy investigation of human-landscape dynamics in the Faynan valley, southern Jordan.",https://doi.org/10.1016/j.jas.2016.09.003,Jordan,,Archaeological,,Graph,N,N,N,N,Research gate,N,Y,Graph of n per gram of sedment
Journal of Archaeological Science,Archaeological Science,2016,Jenkins et al. ,Identifying ancient water availability through phytolith analysis: an experimental approach.,https://doi.org/10.1016/j.jas.2016.07.006,,,Methodological,,Table,N,Y,Y,N,N/A,N,Y,Table of counts and graphs
Journal of Archaeological Science,Archaeological Science,2016,Gu et al.,Phytoliths as a method of indentification for three genera of woody bamboos (Bambusoideae) in tropical southwest China.,https://doi.org/10.1016/j.jas.2015.08.003,China,,Methodological,MRP,Table,N,Y,N,N,N - had to request,Y,Y,Table of average morphometric measurements for each species examined but no raw data provided. 
Journal of Archaeological Science,Archaeological Science,2016,Piperno,Phytolith radiocarbon dating in archaeological and palaeoecological research: a case study of phytliths from modern neotropical plants and a review of the previous dating evidence.,https://doi.org/10.1016/j.jas.2015.06.002,,,Methodological,R,Table,N,N,N,N,N - had to request,N,Y,Table of results from radiocarbon dating is in the text.
Journal of Archaeological Science,Archaeological Science,2016,Ball et al.,Morphometric analysis of phytoliths: recommendations towards standardization from the International Committee for Phytolith Moprhometrics.,https://doi.org/10.1016/j.jas.2015.03.023,,,Methodological,M,.docx,N,Y,N,N,Research gate,Y,Y,Data is in the form of code supplementary files - no numberical data as such but useable method script/code.
Journal of Archaeological Science,Archaeological Science,2016,Vrydaghs et al.,Beyond redundancy and multiplicity. Integrating phytolith analysis and micromorphology to the study of Brussels Dark Earth.,https://doi.org/10.1016/j.jas.2015.09.004,Belgium,,Archaeological,,Table,N,Y,N,N,Research gate,Y,N,"Full method is not given although described briefly in the text, table of different morphotypes is presence/ absence in different contexts/samples and there are also graphs of data of grouped phytolith types - articulated, clustered and isolated."
Journal of Archaeological Science,Archaeological Science,2015,Power et al.,Microremains from El Miron Cave human dental calculus suggest a mixed plant-animal subsistence economy during the Magdalenian in Northern Iberia.,https://doi.org/10.1016/j.jas.2015.04.003,Spain,Magdelenian,Archaeological,,.xlsx,Y,Y,N,N,Academia,Y,N,Phytolith data in a table in the text is counts per sample. Method is not given in detail. Supp info has raw counts in excel table.
Journal of Archaeological Science,Archaeological Science,2015,Novello and Barboni,Grass inflorescence phytoliths of useful species and wild cereals from sub-Saharan Africa.,https://doi.org/10.1016/j.jas.2015.03.031,,,Methodological,MRP,.xlsx,N,Y,N,N,Repository,Y,Y,"Phytolith data in table in the text - supplementary files have graphs and anova excel spreadsheet, details of where samples are from."
Journal of Archaeological Science,Archaeological Science,2015,Corteletti et al.,"Revisiting the economy and mobility of southern proto-Je (Taquara-Itarare) groups in the southern Brazilian highlands: starch grain and phytoliths analyses from the Bonin site, Urubici, Brazil.",https://doi.org/10.1016/j.jas.2015.03.017,Brazil,,Archaeological,,Graph,N,Y,N,N,Research gate,N,Y,Graph in the form of percentage of different morphotypes per vessel sampled. Methods given in supplementary information.
Journal of Archaeological Science,Archaeological Science,2015,Kadowaki et al.,Geoarchaeological and palaeobotanical evidence for prehistoric cereal storage in the southern Caucasus: the Neolithic settlement of Goytepe (mid 8th millennium BP).,https://doi.org/10.1016/j.jas.2014.10.021,Azerbaijan,Neolithic,Archaeological,,Table,N,Y,N,N,Academia,Y,Y,"Table of data in the text gives density per context, % per group of phytoliths. Method reference given. Supp info is word doc with phytolith descriptions from clay thin section samples. "
Journal of Archaeological Science,Archaeological Science,2015,Messager et al.,Archaeobotanical and isotopic evidence of Early Bronze Age farming activities and diet in the mountainous environment of the South Caucasus: a pilot study of Chobareti site (Samtskhe-Javakheti region).,https://doi.org/10.1016/j.jas.2014.10.014,Georgia,Early Bronze Age,Archaeological,,Graph,N,N,N,N,Repository,Y,Y,Graph of data - start graph.
Journal of Archaeological Science,Archaeological Science,2014,Weisskopf et al.,"Archaeobotanical implications of phytolith assemblages from cultivated rice systems, wild rice stands and macro-regional patterns.",https://doi.org/10.1016/j.jas.2013.04.026,India/China,,Methodological,MRP,Table,N,Y,Y,N,N/A,Y,Y,Table of data but not raw data. Graphs of analysis.
Journal of Archaeological Science,Archaeological Science,2014,Mayle and Iriarte,Integrated palaeoecology and archaeology - a powerful approach for understanding pre-Columbian Amazonia.,https://doi.org/10.1016/j.jas.2012.08.038,Columbia,Pre-Columbian,Archaeological,,Graph,N,N,N,N,N - had to request,N,N,This is more of a summary articles but it does include summary graphs - links to primary studies but that also does not contain the raw data.
Journal of Archaeological Science,Archaeological Science,2014,Jin et al.,"8000-Year old rice remains from the north edge of the Shandong Highlands, East China.",https://doi.org/10.1016/j.jas.2013.01.007,China,6060-5900 cal BC,Archaeological,,Table,N,Y,N,N,N - had to request,N,Y,Table of phytoluth counts for some morphotypes iin the text.
Journal of Archaeological Science,Archaeological Science,2014,Wu et al.,Morphological trend analysis of rice phytolith during the early Neolithic in the Lower Yangtze.,https://doi.org/10.1016/j.jas.2014.06.001,China,Early Neolithic ,Archaeological,,Table,N,Y,N,N,Academia,N,Y,No raw data. Table is unclear what it represents. Maybe counts of different morphotypes per sample?
Journal of Archaeological Science,Archaeological Science,2014,Power et al. ,Assessing use of suitability of scanning electron microscopy in the analysis of micro remains in dental calculus.,https://doi.org/10.1016/j.jas.2014.04.016,,,Methodological,,Table,N,Y,Y,N,N/A,N,Y,Table is counts per sample. Supp info is word doc of data from element analysis of remains including different phytoliths.
Journal of Archaeological Science,Archaeological Science,2014,Gur-Arieh et al.,The taphonomy and preservation of wood and dung ashes found in archaeological cooking installations: case studies from Iron Age Israel.,https://doi.org/10.1016/j.jas.2014.03.011,Israel,Iron Age,Archaeological,,Table,N,N,N,N,Research gate,Y,Y,"Table with density of phytoliths per sample, graph of relative % of certain morphotypes per sample."
Journal of Archaeological Science,Archaeological Science,2014,Wang et al.,Comparison of dry ashing and wet oxidation methods for recovering articulated husk phytoliths of foxtail millet and common millet from archaeological soil.,https://doi.org/10.1016/j.jas.2014.03.001,China,,Methodological,T,Table,N,Y,N,N,N - had to request,N,Y,Table of mean measurments of phytolith diameter for each method. - no raw data provided.
Journal of Archaeological Science,Archaeological Science,2014,Shahack-Gross et al.,"Evidence for the repeated use of a central hearth at Middle Pleistocene (300ky ago) Qesem Cave, Israel.",https://doi.org/10.1016/j.jas.2013.11.015,Israel,Middle Pleistocene,Archaeological,,Table,N,N,N,N,Research gate,N,Y,Table in the text says that there are no recognisible phytoliths due to dissolution but were there still some phytoliths that could be given as a density?
Journal of Archaeological Science,Archaeological Science,2014,Kreiter et al.,"Unique in its chaine operatoire, unique in its symbolism: undressing a figurine from the 6th Millennium BC Koros culture, Hungary.",https://doi.org/10.1016/j.jas.2014.01.027,Hungary,Neolithic,Archaeological,,N,N,Y,N,N,Research gate,Y,Y,Micromorphological examination of phytoliths -  supplementary data has chemical analysis data.
Journal of Archaeological Science,Archaeological Science,2014,Wallis et al.,Inter-ethnic social intercations in 16th century La Florida: sourcing pottery using siliceous microfossils.,https://doi.org/10.1016/j.jas.2013.11.031,United States,16th Century,Archaeological,,Table,N,Y,N,N,N - had to request,N,Y,Table contains presence/absence and some percentages of phytolith present in clay samples. 
Journal of Archaeological Science,Archaeological Science,2014,Lancelotti et al.,"The missing crop: investigating the use of grasses at Els Trocs, a Neolithic cave site in the Pyrenees (1564 m asl).",https://doi.org/10.1016/j.jas.2013.11.021,Spain,Neolithic,Archaeological,,pdf,N,N,N,N,Research gate,Y,Y,Table of data in the text but not raw data. More data is available as supplementary data but this is as word docs or pdfs.
Journal of Archaeological Science,Archaeological Science,2014,Portillo et al.,"Early Neolithic household behavior at Tell Seker al-Aheimar (Upper Khabur, Syria): a comparison to ethnoarchaeological study of phytoliths and dung spherulites.",https://doi.org/10.1016/j.jas.2013.10.038,Syria,Neolithic,Archaeological,,Table,N,Y,N,N,Academia,Y,Y,Table in the text has % of selected morphotypes - not the raw data.
Journal of Archaeological Science,Archaeological Science,2014,Fairbairn et al.,"9th Millenium plant subsistence in the central Anatolian highlands: new evidence from Pinarbasi, Karaman Province, central Anatolia.",https://doi.org/10.1016/j.jas.2013.09.024,Turkey,Neolithic (9000-7700BC),Archaeological,,Table,N,Y,N,N,Academia,N,Y,Table of counts for all samples in the text - supp data is a word doc and excel spreadsheet for macrobotanical analysis.
Journal of Archaeological Science,Archaeological Science,2013,Gur-Arieh et al.,An ethnoarchaeological study of cooking installations in rural Uzbekistan: development of a new method for identification of fuel sources.,https://doi.org/10.1016/j.jas.2013.06.001,Uzbekistan,,Methodological,ethnoarchaeological,Table,N,N,N,N,Academia,Y,Y,Table of denisities of phytoliths in samples and graphs with different morphotype groups but no raw data. Katz method.
Journal of Archaeological Science,Archaeological Science,2013,Farooqui et al.,"Climate, vegetation and ecology during Harappan period: excavations at Kanjetar and Kaj, mid-Saurashtra coast, Gujarat.",https://doi.org/10.1016/j.jas.2013.02.005,India,Harappan period,Archaeological,,Graph,N,Y,N,N,Research gate,N,N,Strat graph and description of percentages of different morphotypes in the text - No raw data spreadsheet.
Journal of Archaeological Science,Archaeological Science,2013,Mallol et al.,The black layer of Middle Palaeolithic combustion structures. Interpretation and archaeostratigraphic implications.,https://doi.org/10.1016/j.jas.2012.09.017,Spain,Middle Palaeolithic,Archaeological,T - experimental,Table,N,N,N,N,Academia,Y,Y,Table with phytolith densities for certain groups and also graphs of phytolith broken down into more groups.
Journal of Archaeological Science,Archaeological Science,2013,Lubos et al.,Settlement and environmental history of a multilayered settlement mound in Niederroblingen (central Germany) - a multi-proxy approach. ,https://doi.org/10.1016/j.jas.2012.07.022,Germany,Early Neolithic to Roman,Archaeological,,pdf,N,N,N,N,Academia,Y,N,Strat graphs in the text showing the phytolith concentration of certain morphotypes. Methods is given in the text but not full method. Supplementary files have raw counts in data table but in a pdf file.
Journal of Archaeological Science,Archaeological Science,2013,Peto et al.,Macro- and micro-archaeobotanical study of a vessel content from a Late Neolithic structured deposition from southeastern Hungary.,https://doi.org/10.1016/j.jas.2012.08.027,Hungary,Neolithic,Archaeological,,Table,N,Y,N,N,N - had to request,Y,Y,Table of results from pottery extraction - raw counts.
Journal of Archaeological Science,Archaeological Science,2012,Miller et al.,"An experimental micromorphological investigation of bedding construction in the Middle Stone Age of Sibudu, South Africa.",https://doi.org/10.1016/j.jas.2012.02.007,South Africa,Middle Stone Age,Methodological,T,N,N,Y,N,N,Academia,N,Y,Description of results are in the text - no data tables or graphs.
Journal of Archaeological Science,Archaeological Science,2012,Cabanes et al,"Human impact around settlement sites: a phytolith and mineralogical study for assessing site boundaries, phytolith preservation, and implications for spatial reconstructions using plant remains.",https://doi.org/10.1016/j.jas.2012.04.008,Israel,Iron Age,Archaeological,,Graph,N,N,N,N,Academia,Y,Y,"Graphs of phytolith concentration per gram per sample, and average percentage of morphotype groups per zone."
Journal of Archaeological Science,Archaeological Science,2012,Lancelotti and Madella,The invisible product: developing markers for identifying dung in archaeological contexts.,https://doi.org/10.1016/j.jas.2011.11.007,,,Methodological,ethnographic,Table,N,Y,N,N,Research gate,Y,Y,Table and graph of concentrations and different phytolith plant parts. No raw data given.
Journal of Archaeological Science,Archaeological Science,2012,Braadbaart et al.,"Fuel, fire and heat: an experimental approach to highlight the potential of studying ash and char remains from archaeological contexts.",https://doi.org/10.1016/j.jas.2011.10.009,,,Methodological,T - experimental,N,N,Y,N,N,Academia,Y,Y,No table or graphical data given. Results are discussed in the text for the phytoliths present in the micromorphological sections.
Journal of Archaeological Science,Archaeological Science,2012,Dickau et al.,"Diversity of cultivars and other plant resources used at habitation sites in the Llanos de Mojos, Beni, Bolivia: evidence from macrobotanical remains, starch grains and phytoliths.",https://doi.org/10.1016/j.jas.2011.09.021,Bolivia,Late Holocene,Archaeological,,Table,N,Y,N,N,Academia,N,Y,Supplementary data is method details. No raw data - presence/absence phytolith data from artifacts and graph of phytolith percentage of different morphotypes.
Journal of Archaeological Science,Archaeological Science,2011,Namdar et al.,"The 9th century BCE destruction layer at Tell es-Safi/Gath, Israel, integrating macro- and microarchaeology.",https://doi.org/10.1016/j.jas.2011.08.009,Israel,9th C BCE,Archaeological,,.docx,N,N,N,N,Academia,Y,Y,Word doc with table of combined data - not raw counts.
Journal of Archaeological Science,Archaeological Science,2011,Portillo and Albert,"Husbandry practices and livestock dung at the Numidian site of Althiburos (el Medeina. Kef Governorate, northern Tunisia): the phytolith and spherulite evidence.",https://doi.org/10.1016/j.jas.2011.06.027,Tunisia,10th-9th century BC,Archaeological,,Graph,N,Y,N,N,Academia,Y,N,Ref to method but said it is similar to this and full details not given. No raw data - graphs of relative abundance of grouped morphotypes per sample. 
Journal of Archaeological Science,Archaeological Science,2011,Hart,Evaluating the usefulness of phytoliths and starch grains found on survey artifacts.,https://doi.org/10.1016/j.jas.2011.06.034      ,England,Medieval,Archaeological,,.docx,N,Y,N,N,N - had to request,Y,Y,Presence/absence of phytolith morphotypes in a graph in the text. - supp data files has table of some data and information of plants sampled.
Journal of Archaeological Science,Archaeological Science,2011,Raviele,Experimental assessment of maize phytolith and starch taphonomy in carbonized cooking residues.,https://doi.org/10.1016/j.jas.2011.06.008,,,Methodological,T,Table,N,N,N,N,Academia,N,Y,Table of raw counts per experiment are included in the text.
Journal of Archaeological Science,Archaeological Science,2011,Cabanes et al,Stability pf phytoliths in the archaeological record: a dissolution study of modern and fossil phytoliths.,https://doi.org/10.1016/j.jas.2011.05.020,,,Methodological,T,Table,N,Y,N,N,Academia,Y,Y,"No raw data but tables of data in the text with ratios and percentages per morphotype, graphs of percentages before and after for each plant type and each morphotypes."
Journal of Archaeological Science,Archaeological Science,2011,Fenwick et al.,Palm reading: a pilot study to discriminate phytoliths of four Arecaceae (Palmae) taxa.,https://doi.org/10.1016/j.jas.2011.03.016,,,Methodological,MRP,Table,N,Y,N,N,N - had to request,N,Y,Table of means results and graphs of analysis but no raw data.
Journal of Archaeological Science,Archaeological Science,2011,Yost and Blinnikov,"Locally diagnostic phytoliths of wild rice (Zizania palustris) from Minnesota, USA: comparison to other wetland grasses and usefulness for archaeobotany and paleaeoecological reconstructions.",https://doi.org/10.1016/j.jas.2011.04.016,United States,,Methodological,MRP,Table,N,Y,N,N,N - had to request,Y,Y,Table of data in the text for plant % weights - supp data is pictures of diagnostic features.
Journal of Archaeological Science,Archaeological Science,2011,Lippi et al.,"Rice chaff in ceramics from the archaeological site of Sumhuram (Dhofar, Southern Oman).",https://doi.org/10.1016/j.jas.2010.09.028,Oman,1st C AD,Archaeological,,N,N,Y,N,N,N - had to request,N,Y,Results are discussed in the text.
Journal of Archaeological Science,Archaeological Science,2011,Cabanes and Albert,Microarchaeology of a collective burial: cova des Pas (Minorca).,https://doi.org/10.1016/j.jas.2010.12.008,Spain,3000 BP,Archaeological,,Table,N,Y,N,N,Academia,Y,Y,No raw data - table of data in the text gives % range of phytoliths per morphotype. Graphs of different plant parts per location.
Journal of Archaeological Science,Archaeological Science,2011,Gong et al. ,"Investigation of ancient noodles, cakes and millet at Subeixi Site, Xinjiang, China.",https://doi.org/10.1016/j.jas.2010.10.006,China,500-300 BC,Archaeological,,Table,N,Y,N,N,N - had to request,N,Y,Table of morphometric measurements of millet phytoliths - no raw counts from pottery extractions.
Journal of Archaeological Science,Archaeological Science,2010,Kennett et al. ,Pre-pottery farmers on the Pacific coast of southern Mexico.,https://doi.org/10.1016/j.jas.2010.07.035,Mexico,7500-3800 BP,Archaeological,,Graph,N,Y,N,N,Academia,N,N,No raw data - strat graphs of percentages of different morphotypes.
Journal of Archaeological Science,Archaeological Science,2010,Iriarte et al.,Late Holocene Neotropical agricultural landscapes: phytolith and stable carbon isotope analysis of raised fields from French Guianan coastal savannahs.,https://doi.org/10.1016/j.jas.2010.06.016,French Guiana,693-733 BP,Archaeological,,Graph,N,Y,N,N,Academia,Y,Y,No raw data - strat graphs of percentages of different morphotypes.
Journal of Archaeological Science,Archaeological Science,2010,Cabanes et al.,"Phytolith evidence for hearths and beds in the late Mousterian occupations of Esquilleu cave (Cantabria, Spain).",https://doi.org/10.1016/j.jas.2010.07.010,Spain,Late Pleistocene,Archaeological,,Graph,N,Y,N,N,Academia,Y,Y,No raw data - strat graphs of percentages of different grouped morphotypes.
Journal of Archaeological Science,Archaeological Science,2010,Mercader et al.,"Poaceae phytoliths from the Niassa Rift, Mozambique.",https://doi.org/10.1016/j.jas.2010.03.001,Mozambique,,Methodological,MRP,.xlsx,Y,Y,N,N,Academia,Y,Y,Supplementaty data gives excel of raw data and data analysis.
Journal of Archaeological Science,Archaeological Science,2010,Katz et al.,"Rapid phytolith extraction for analysis of phytolith concentrations and assemblages during an excavation: an application at tell es-Safi/Gath , Israel.",https://doi.org/10.1016/j.jas.2010.01.016,Israel,,Methodological,T - Extraction method development,Table,N,Y,N,N,N - had to request,Y,Y,Raw data counts are in tables in the text and there are graph of data analysis.
Journal of Archaeological Science,Archaeological Science,2010,Wesolowski et al.,Evaluating microfossil content of dental calculus from Brazilian sambaquis.,https://doi.org/10.1016/j.jas.2009.12.037,Brazil,3870-1250BP,Archaeological,,Table,N,Y,N,N,Academia,N,Y,Total phytolith counts in table in the text and concentrations - no raw data for each morphotype.
Journal of Archaeological Science,Archaeological Science,2010,Li et al.,Phytoliths and microcharcoal at Jinluojia archaeological site in middle reaches of Yangtze River indicitive of paleoclimate and human activity during the last 3000 years.,https://doi.org/10.1016/j.jas.2009.09.022,China,last 3000 years,Archaeological,,Graph,N,Y,N,N,N - had to request,Y,N,Stratigraphic graph of different morphotypes - not clear what the figures are as not labelled properly.
Journal of Archaeological Science,Archaeological Science,2009,Yunfei et al.,Rice fields and modes of rice cultivation between 500 and 2500 BC in east China.,https://doi.org/10.1016/j.jas.2009.09.026,China,5000-2500 BC,Archaeological,,Table,N,N,N,N,Academia,N,N,"Only brief method given, not fully described. Table of densities for grass phytoliths per sample in the text. Strat graph in the text."
Journal of Archaeological Science,Archaeological Science,2009,Jenkins,Phytolith taphonomy: a comparison of dry ashing and acid extraction on the breakdown of conjoined phytoliths formed in Triticum durum.,https://doi.org/10.1016/j.jas.2009.06.028,,,Methodological,T,Table,N,Y,N,N,Academia,N,Y,Table of average results for each method. Full method given.
Journal of Archaeological Science,Archaeological Science,2009,Tsartsidou et al.,Use of space in a Neolithic village in Greece (Makri): phytolith analysis and comparison of phytolith assemblages from an ethnographic setting in the same area.,https://doi.org/10.1016/j.jas.2009.06.017,Greece,Neolithic,Archaeological,,Graph,N,N,N,N,Research gate,Y,Y,Graphs of some morphotypes/plant parts per sample. No raw data.
Journal of Archaeological Science,Archaeological Science,2009,Wu et al.,Extended depth of focus image for phytolith analysis.,https://doi.org/10.1016/j.jas.2009.06.010,,,Methodological,MRP,Table,N,Y,N,N,N - had to request,N,Y,Table of measurements in the text - looks like raw data.
Journal of Archaeological Science,Archaeological Science,2009,Horrocks et al.,"A short note on banana (Musa) phytoliths in Lapita, immediately post-Lapita and modern period archaeological deposits from Vanuatu.",https://doi.org/10.1016/j.jas.2009.05.024,Vanuatu,3000 BP,Archaeological,,Graph,N,Y,N,N,Research gate,N,Y,Strat graph of phytolith morphotypes per sample.
Journal of Archaeological Science,Archaeological Science,2009,Horrocks and Rechtman,"Sweet potato (Ipomoea batatas) and banana (Musa sp.) microfossils in deposits from the Kona Field System, Island of Hawaii.",https://doi.org/10.1016/j.jas.2008.12.014,Hawaii,1300-1470 AD,Archaeological,,Graph,N,Y,N,N,Repository,N,Y,Strat graph of phytolith morphotypes per sample.
Journal of Archaeological Science,Archaeological Science,2009,Alam et al.,"Reconstructing late Holocene palaeoenvironments in Bangladesh: phytolith analysis of archaeological soils from Somapura Mahavihara site in the Paharpur area, Badalgacchi Upazila, Naogaon District, Bangladesh.",https://doi.org/10.1016/j.jas.2008.09.038,Bangladesh,730 to 1080 AD,Archaeological,,Graph,N,N,N,N,N - had to request,Y,Y,Stratigraphic graph of relative abundances of morphotypes.
Journal of Archaeological Science,Archaeological Science,2009,Hart and Matson,The use of multiple discriminant analysis in classifying prehistoric phytolith assemblages recovered from cooking residues.,https://doi.org/10.1016/j.jas.2008.07.011,,,Methodological,MRP,Table,N,Y,N,N,Academia,N,Y,Table of results of discriminant analysis.
,,,,,,,,,,,,,,,,,,
Journal of Archaeological Science reports,Archaeological Science,2018,Liu et al.,"Fermented beverage and food storage in 13,000y-old stone mortars at Raqefet Cave, Israel: investigating Natufian ritual feasting.",https://doi.org/10.1016/j.jasrep.2018.08.008,Israel,"13,700-11,700 BP)",Archaeological,,Table,N,Y,N,N,Academia,Y,Y,Table in the text of some moprhotypes in the samples.
Journal of Archaeological Science reports,Archaeological Science,2018,Lalinde Aguilar et al.,Late Holocene plant use in the Sierras Pampeanas of Argentina: evidence from phytolith and starch grains.,https://doi.org/10.1016/j.jasrep.2018.08.025,Argentina,Late Holocene,Archaeological,,Table,N,Y,N,N,N - had to request,N,Y,Table of presence or absence of certain species identified with phytoliths per sample
Journal of Archaeological Science reports,Archaeological Science,2018,Chabot et al.,"Phytolith analysis from the archaeological site of Kota Cina (North Sumatra, Indonesia).",https://doi.org/10.1016/j.jasrep.2018.04.033,Indonesia,11th-14th C AD,Archaeological,,Graph,N,Y,N,N,N - had to request,Y,N,"Method - some details given but needs more detail. No raw data, stratigraphic graphs given."
Journal of Archaeological Science reports,Archaeological Science,2018,Gismondi et al.,Dental calculus reveals diet habits and medicinal plant use in the Early Medieval Italian population of Colona.,https://doi.org/10.1016/j.jasrep.2018.05.023,Italy,Medieval,Archaeological,,N,N,Y,N,N,N - had to request,N,Y,No table of data but some data for phytoliths discussed in the text. 
Journal of Archaeological Science reports,Archaeological Science,2018,Koromila et al.,"The Neolithic tell as a multi-species monument: human, animal and plant relationships through a micro-contextual study of animal dung remains at Koutroulou Magoula, central Greece.",https://doi.org/10.1016/j.jasrep.2018.03.011,Greece,Neolithic,Archaeological,,Graph,N,N,N,N,N - had to request,N,Y,Graph of some morphotypes and phyto groups but no raw data provided.
Journal of Archaeological Science reports,Archaeological Science,2018,Dunseth et al.,"Intermediate Bronze Age subsistence practices in the Negev Highlands, Israel: macro- and microarchaeological results from the sites of Ein Ziq and Nahal Boqer 66.",https://doi.org/10.1016/j.jasrep.2018.03.025,Israel,Bronze Age,Archaeological,,Graph,N,N,N,N,Academia,Y,Y,Supp info in appendix has two tables with amount of phytoliths per 1 g of sediment per sample.
Journal of Archaeological Science reports,Archaeological Science,2018,Toffolo et al.,"Microarchaeology of a grain silo: insights into stratigraphy, chronology and food storage at Late Bronze Age Ashkelon, Israel.",https://doi.org/10.1016/j.jasrep.2018.02.047,Israel,Bronze Age,Archaeological,,Table,N,Y,N,N,N - had to request,Y,Y,Katz method. Percentages and concentrations of grouped morphotypes in the each sample.
